nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Campersalle-Canalicchia,,hamlet,,,43.3183663,12.1489837,3978356819,,Q18492289
Campi,,hamlet,,,42.8527959,13.0972496,2379001978,it:Campi (Norcia),Q3651969
Campi Vecchio,,hamlet,,,42.8536687,13.1005599,1776355620,it:Campi (Norcia),Q3651969
Campitello,,hamlet,,,43.4029548,12.6915799,2246210154,,Q18492293
Campo della Fiera,,hamlet,,,42.5975597,12.2622051,650719439,,Q18494504
Campodarco,,hamlet,,,43.1315395,12.7900922,4016874893,,Q18492295
Campofondo,,hamlet,,,42.9818427,12.5663615,3951757407,,Q18492297
Camporeggiano,,hamlet,,,43.3429392,12.420991,312446656,it:Camporeggiano,Q2564546
Camporeggiano,,hamlet,,,42.8514642,12.5677391,3995988957,,Q18492299
Camporoppolo,,hamlet,,,42.806918,12.7213033,650721752,,Q18492300
Camposalese,,hamlet,,,42.8044854,12.7421092,4030018534,,Q18492302
Canale,,hamlet,,,43.1256126,12.2242458,4003815590,,Q18492304
Canale,,village,,,42.9680798,11.9982606,6576968151,,
Canale Nuovo,,village,,,42.687523,12.1329683,317003753,,Q18494512
Canale Vecchio,,hamlet,,,42.6898702,12.1273393,317003754,,Q18494515
Canalecce,,hamlet,,,43.33785,12.548758,312446658,,Q18492306
Canalicchio,,hamlet,,,42.946785,12.4551064,3979365109,it:Canalicchio (Collazzone),Q1109924
Cancellara,,hamlet,,,42.9279122,12.7528658,3129615138,,Q18492310
Cancelli,,hamlet,,,42.9403441,12.8023721,3129615140,it:Cancelli,Q2365039
Cancelli,,hamlet,,,42.8485295,12.9384991,11096657908,,
Canciolo,,hamlet,,,43.5187998,12.1485806,750562724,,Q18492312
Candeggio,,hamlet,,,43.4456444,12.340348,12144340572,,
Canella di Sotto,,hamlet,,,43.0123787,12.1868457,4022428454,,
Canepine,,hamlet,,,42.6821215,12.5770242,4038800817,,Q18494518
Canino,,hamlet,,,42.7104645,12.1949686,338748321,,Q18494521
Cannaiola,,village,,,42.8645807,12.7129305,2136967647,,
Cannara,,village,,,42.994742,12.579363,68507533,it:Cannara,Q20381
Canneto,,village,,,43.1578221,12.3351759,312446780,,Q18493268
Canocchia,,hamlet,,,43.4230989,12.3365407,3443488714,,
Canonica,,hamlet,,,42.6999978,12.0488236,317003755,,Q18494524
Canoscio,,hamlet,,,43.3817478,12.2247132,5371302216,it:Canoscio,Q2936523
Cantagallina,,hamlet,,,43.0399526,12.0112822,2917027827,,Q18492317
Cantalupo,,village,,,42.9653367,12.5837994,2696099956,it:Cantalupo (Bevagna),Q3655643
Cantone,,hamlet,,,43.565581,12.2657992,623598986,,
Cantone,,hamlet,,,42.8416939,12.1267204,2306961091,,Q18494526
Capanne Pian di Sotto,,hamlet,,,43.5379867,12.1611829,623598958,,Q18492327
Capanne di Collegiacone,,hamlet,,,42.7247639,12.9748808,1263524110,,Q18492323
Capanne di Rocca Porena,,hamlet,,,42.7102753,12.9614039,1263524032,,Q18492325
Capegliano,,hamlet,,,43.3605061,12.1426115,10550448484,,
Capitan Loreto,,village,,,43.0187966,12.6478286,317000987,,Q18492329
Capitignano,,hamlet,,,42.5954227,12.770401,649279919,,Q18494528
Capitone,,village,,,42.5739222,12.475117,564978546,it:Capitone (Narni),Q2941171
Capo del Colle,,hamlet,,,42.8447121,13.1075226,2918903429,,Q18492331
Capocavallo,,village,,,43.160057,12.3217872,312446710,it:Capocavallo,Q3657219
Capodacqua,,hamlet,,,43.0294795,12.6501353,317000990,it:Capodacqua (Assisi),Q926991
Capodacqua,,hamlet,,,43.0176633,12.7835946,3991895885,it:Capodacqua (Foligno),Q930771
Caposomigiale,,hamlet,,,42.9302188,12.9308748,12117133918,,
Cappuccini,,hamlet,,,42.8432461,12.0650822,317003709,,Q18494533
Caprara,,hamlet,,,43.2559121,12.6973494,3901468445,,Q18492340
Capretta,,hamlet,,,42.7485367,12.1759138,317003759,,Q18494536
Caprile,,hamlet,,,43.3672433,12.704385,2246294739,,
Capro,,hamlet,,,42.9463365,12.6062449,12393917894,,
Carbognano,,hamlet,,,42.7952718,12.5985926,650721587,,Q18492342
Carbonesca,,hamlet,,,43.228048,12.625661,312446663,it:Carbonesca,Q3658295
Carceri,,hamlet,,,42.9292569,12.3960572,339387574,,Q18492346
Cariè,,hamlet,,,43.0543352,12.8183949,5077675162,,
Carone,,hamlet,,,42.5435247,12.6023807,649358967,,Q18494540
