nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Biccimurri,,hamlet,,,43.8274854,10.8645107,1542041895,,
Biecina,,hamlet,,,43.9410608,10.6507716,2374734487,,
Bientina,,village,,,43.7101845,10.6203207,61753603,,
Biforco,,village,,,44.0652448,11.6018986,3030267130,,Q57960810
Biforco,,hamlet,,,43.7498246,11.9346726,3472761027,,Q18484165
Biglio,,hamlet,,,44.3483265,9.9796726,1003626839,,Q18489294
Bigliolo,,hamlet,,,44.2325891,10.0501002,1467639422,,
Bignola,,hamlet,,,43.6526815,11.1420146,1076758217,,
Bigurro,,hamlet,,,43.3274086,11.9271907,1434672205,,Q18484172
Bilancino,,hamlet,,,43.9761517,11.2861758,13434531176,,
Biodola,,hamlet,,,42.80138,10.268676,13463466687,,Q16532682
Biscolla,,hamlet,,,43.8655652,10.7665832,1528866067,,
Bivigliano,,village,,,43.8953975,11.3222425,2040607564,it:Bivigliano,Q3640582
Bivio di Caldana,,hamlet,,,42.8991437,10.9578005,2795141555,,
Bivio di Montorgiali,,hamlet,,,42.7349112,11.2906004,2075927846,,Q18487600
Bivio di Ravi,,hamlet,,,42.9189212,10.9463277,2795141556,,Q18487599
Bizzarrino,,hamlet,,,43.8356584,10.8427956,1542041918,,
Bobolino,,hamlet,,,43.7225731,11.0178874,317316786,,Q18486453
Bocceda,,hamlet,,,44.2190076,9.8985268,1445480930,,Q18489297
Boccheggiano,,village,,,43.0906314,11.0339542,374386100,it:Boccheggiano,Q2402810
Bocciardi,,hamlet,,,43.7622751,10.7126374,12800285508,,Q18490047
Bola,,hamlet,,,44.2353937,9.8963314,1445480034,,
Bolgheri,,hamlet,,,43.2340065,10.6179334,1387548758,it:Bolgheri,Q891340
Bollano,,hamlet,,,43.1771453,11.5230139,4460244589,,Q18491464
Bollogno,,hamlet,,,43.9673208,10.3336012,3157261095,,
Bolognana,,hamlet,,,44.0408864,10.4713148,975221966,,Q18488439
Bombone,,hamlet,,,43.7284616,11.4392264,318680481,it:Bombone,Q3641989
Bonalaccia-Filetto,,hamlet,,,42.7597327,10.2510696,317675355,,Q18487984
Bonazza,,hamlet,,,43.5875936,11.1661881,489268440,,Q18486459
Bondola,,hamlet,,,44.2425067,10.0387247,1467639423,,Q18489301
Bonelle,,village,,,43.9107482,10.918113,1712669989,it:Bonelle,Q3642096
Bonistallo,,hamlet,,,43.8203394,11.0466804,3329621039,it:Bonistallo,Q3642164
Bordignano,,hamlet,,,44.1719262,11.4216352,1417034772,,
